trainStation,departureTime
8502199,01442 
8502177,01443 
8502197,01445 
8502178,01447 
8502179,01448 
8502195,01450 
8502180,01451 
8502194,01455 
8502181,01456 
8502182,01457 
8502196,01458 
8502192,01500 
8502191,01501 
8502113,01424 
8502191,01425 
8502192,01427 
8502196,01429 
8502182,01430 
8502181,01432 
8502194,01434 
8502180,01438 
8502195,01440 
8502179,01441 
8502178,01443 
8502197,01445 
8502177,01446 
8502199,01512 
8502177,01513 
8502197,01515 
8502178,01517 
8502179,01518 
8502195,01520 
8502180,01521 
8502194,01525 
8502181,01526 
8502182,01527 
8502196,01528 
8502192,01530 
8502191,01531 
8502113,01454 
8502191,01455 
8502192,01457 
8502196,01459 
8502182,01500 
8502181,01502 
8502194,01504 
8502180,01508 
8502195,01510 
8502179,01511 
8502178,01513 
8502197,01515 
8502177,01516 
8502199,01542 
8502177,01543 
8502197,01545 
8502178,01547 
8502179,01548 
8502195,01550 
8502180,01551 
8502194,01555 
8502181,01556 
8502182,01557 
8502196,01558 
8502192,01600 
8502191,01601 
8502113,01524 
8502191,01525 
8502192,01527 
8502196,01529 
8502182,01530 
8502181,01532 
8502194,01534 
8502180,01538 
8502195,01540 
8502179,01541 
8502178,01543 
8502197,01545 
8502177,01546 
8502199,01612 
8502177,01613 
8502197,01615 
8502178,01617 
8502179,01618 
8502195,01620 
8502180,01621 
8502194,01625 
8502181,01626 
8502182,01627 
8502196,01628 
8502192,01630 
8502191,01631 
8502113,01554 
8502191,01555 
8502192,01557 
8502196,01559 
8502182,01600 
8502181,01602 
8502194,01604 
8502180,01608 
8502195,01610 
8502179,01611 
8502178,01613 
8502197,01615 
8502177,01616 
8502199,01642 
8502177,01643 
8502197,01645 
8502178,01647 
8502179,01648 
8502195,01650 
8502180,01651 
8502194,01655 
8502181,01656 
8502182,01657 
8502196,01658 
8502192,01700 
8502191,01701 
8502113,01624 
8502191,01625 
8502192,01627 
8502196,01629 
8502182,01630 
8502181,01632 
8502194,01634 
8502180,01638 
8502195,01640 
8502179,01641 
8502178,01643 
8502197,01645 
8502177,01646 
8502199,01712 
8502177,01713 
8502197,01715 
8502178,01717 
8502179,01718 
8502195,01720 
8502180,01721 
8502194,01725 
8502181,01726 
8502182,01727 
8502196,01728 
8502192,01730 
8502191,01731 
8502113,01654 
8502191,01655 
8502192,01657 
8502196,01659 
8502182,01700 
8502181,01702 
8502194,01704 
8502180,01708 
8502195,01710 
8502179,01711 
8502178,01713 
8502197,01715 
8502177,01716 
8502199,01742 
8502177,01743 
8502197,01745 
8502178,01747 
8502179,01748 
8502195,01750 
8502180,01751 
8502194,01755 
8502181,01756 
8502182,01757 
8502196,01758 
8502192,01800 
8502191,01801 
8502113,01724 
8502191,01725 
8502192,01727 
8502196,01729 
8502182,01730 
8502181,01732 
8502194,01734 
8502180,01738 
8502195,01740 
8502179,01741 
8502178,01743 
8502197,01745 
8502177,01746 
8502199,01812 
8502177,01813 
8502197,01815 
8502178,01817 
8502179,01818 
8502195,01820 
8502180,01821 
8502194,01825 
8502181,01826 
8502182,01827 
8502196,01828 
8502192,01830 
8502191,01831 
8502113,01754 
8502191,01755 
8502192,01757 
8502196,01759 
8502182,01800 
8502181,01802 
8502194,01804 
8502180,01808 
8502195,01810 
8502179,01811 
8502178,01813 
8502197,01815 
8502177,01816 
8502199,01842 
8502177,01843 
8502197,01845 
8502178,01847 
8502179,01848 
8502195,01850 
8502180,01851 
8502194,01855 
8502181,01856 
8502182,01857 
8502196,01858 
8502192,01900 
8502191,01901 
8502113,01824 
8502191,01825 
8502192,01827 
8502196,01829 
8502182,01830 
8502181,01832 
8502194,01834 
8502180,01838 
8502195,01840 
8502179,01841 
8502178,01843 
8502197,01845 
8502177,01846 
8502199,01912 
8502177,01913 
8502197,01915 
8502178,01917 
8502179,01918 
8502195,01920 
8502180,01921 
8502194,01925 
8502181,01926 
8502182,01927 
8502196,01928 
8502192,01930 
8502191,01931 
8502113,01854 
8502191,01855 
8502192,01857 
8502196,01859 
8502182,01900 
8502181,01902 
8502194,01904 
8502180,01908 
8502195,01910 
8502179,01911 
8502178,01913 
8502197,01915 
8502177,01916 
